2026-03-15T11:04:22 START listen=127.0.0.1:19080 upstream=208.214.160.156:50101 user=egorkaray
2026-03-15T11:06:39 HANDLE_ERROR peer=('127.0.0.1', 59959) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:12:13 CONNECT_OK peer=('127.0.0.1', 52030) target=149.154.167.223:80
2026-03-15T11:12:13 CONNECT_OK peer=('127.0.0.1', 52035) target=149.154.167.223:80
2026-03-15T11:12:14 CONNECT_OK peer=('127.0.0.1', 52033) target=149.154.167.223:443
2026-03-15T11:12:15 CONNECT_OK peer=('127.0.0.1', 52040) target=149.154.167.223:80
2026-03-15T11:12:20 CONNECT_OK peer=('127.0.0.1', 52052) target=149.154.167.223:80
2026-03-15T11:12:20 CONNECT_OK peer=('127.0.0.1', 52056) target=149.154.167.223:80
2026-03-15T11:12:20 CONNECT_OK peer=('127.0.0.1', 52060) target=149.154.166.120:80
2026-03-15T11:12:20 CONNECT_OK peer=('127.0.0.1', 52064) target=149.154.167.51:80
2026-03-15T11:12:20 CONNECT_OK peer=('127.0.0.1', 52059) target=149.154.167.51:443
2026-03-15T11:12:20 CONNECT_OK peer=('127.0.0.1', 52066) target=149.154.167.41:80
2026-03-15T11:12:20 CONNECT_OK peer=('127.0.0.1', 52058) target=149.154.166.120:443
2026-03-15T11:12:21 CONNECT_OK peer=('127.0.0.1', 52086) target=149.154.167.41:80
2026-03-15T11:12:21 CONNECT_OK peer=('127.0.0.1', 52083) target=149.154.167.41:443
2026-03-15T11:12:21 CONNECT_OK peer=('127.0.0.1', 52080) target=149.154.167.51:443
2026-03-15T11:12:21 CONNECT_OK peer=('127.0.0.1', 52085) target=149.154.167.51:80
2026-03-15T11:12:21 CONNECT_OK peer=('127.0.0.1', 52079) target=149.154.166.120:443
2026-03-15T11:12:21 CONNECT_OK peer=('127.0.0.1', 52062) target=149.154.167.41:443
2026-03-15T11:12:22 CONNECT_OK peer=('127.0.0.1', 52097) target=149.154.166.120:80
2026-03-15T11:12:22 CONNECT_OK peer=('127.0.0.1', 52106) target=149.154.167.41:80
2026-03-15T11:12:22 CONNECT_OK peer=('127.0.0.1', 52100) target=149.154.166.120:443
2026-03-15T11:12:23 CONNECT_OK peer=('127.0.0.1', 52103) target=149.154.166.120:80
2026-03-15T11:12:23 CONNECT_OK peer=('127.0.0.1', 52101) target=149.154.167.51:443
2026-03-15T11:12:23 CONNECT_OK peer=('127.0.0.1', 52102) target=149.154.167.41:443
2026-03-15T11:12:24 CONNECT_OK peer=('127.0.0.1', 52105) target=149.154.167.51:80
2026-03-15T11:12:26 CONNECT_OK peer=('127.0.0.1', 52121) target=149.154.167.223:443
