2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60771) target=rr4---sn-q4flrnld.googlevideo.com:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60773) target=stats.avito.ru:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60779) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60775) target=sntr.avito.ru:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60780) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60783) target=surveys.yandex.com:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60777) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60785) target=www.google.com:443
2026-03-14T21:28:01 CONNECT_OK peer=('127.0.0.1', 60791) target=widget-api.uxfeedback.ru:443
2026-03-14T21:28:01 CONNECT_OK peer=('127.0.0.1', 60787) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:01 CONNECT_OK peer=('127.0.0.1', 60789) target=real-time-poi.maps.yandex.com:443
2026-03-14T21:28:01 CONNECT_OK peer=('127.0.0.1', 60793) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:01 CONNECT_OK peer=('127.0.0.1', 60795) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:01 CONNECT_OK peer=('127.0.0.1', 60797) target=cs.avito.ru:443
2026-03-14T21:28:01 CONNECT_OK peer=('127.0.0.1', 60799) target=accounts.youtube.com:443
2026-03-14T21:28:01 CONNECT_OK peer=('127.0.0.1', 60801) target=content-autofill.googleapis.com:443
2026-03-14T21:28:02 CONNECT_OK peer=('127.0.0.1', 60803) target=cs.avito.ru:443
2026-03-14T21:28:02 CONNECT_OK peer=('127.0.0.1', 60807) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:02 CONNECT_OK peer=('127.0.0.1', 60805) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:02 CONNECT_OK peer=('127.0.0.1', 60813) target=fonts.gstatic.com:443
2026-03-14T21:28:02 CONNECT_OK peer=('127.0.0.1', 60811) target=ru.id.facct.ru:443
2026-03-14T21:28:02 CONNECT_OK peer=('127.0.0.1', 60809) target=cdn.uxfeedback.ru:443
2026-03-14T21:28:02 CONNECT_OK peer=('127.0.0.1', 60815) target=peoplestack-pa.clients6.google.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60817) target=peoplestack-pa.clients6.google.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60819) target=real-time-poi.maps.yandex.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60821) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60825) target=fonts.gstatic.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60823) target=proxy-seller.io:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60827) target=appsgrowthpromo-pa.clients6.google.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60831) target=real-time-poi.maps.yandex.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60829) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60839) target=real-time-poi.maps.yandex.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60833) target=real-time-poi.maps.yandex.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60832) target=real-time-poi.maps.yandex.com:443
2026-03-14T21:28:04 CONNECT_OK peer=('127.0.0.1', 60834) target=real-time-poi.maps.yandex.com:443
2026-03-14T21:28:05 CONNECT_OK peer=('127.0.0.1', 60845) target=www.perplexity.ai:443
2026-03-14T21:28:05 CONNECT_OK peer=('127.0.0.1', 60841) target=widget-api.uxfeedback.ru:443
2026-03-14T21:28:05 CONNECT_OK peer=('127.0.0.1', 60843) target=mon.avito.ru:443
2026-03-14T21:28:05 CONNECT_OK peer=('127.0.0.1', 60849) target=appsgrowthpromo-pa.clients6.google.com:443
2026-03-14T21:28:05 CONNECT_OK peer=('127.0.0.1', 60851) target=addons-pa.clients6.google.com:443
2026-03-14T21:28:06 CONNECT_OK peer=('127.0.0.1', 60847) target=yandex.com:443
2026-03-14T21:28:06 CONNECT_OK peer=('127.0.0.1', 60853) target=yandex.com:443
2026-03-14T21:28:06 CONNECT_OK peer=('127.0.0.1', 60859) target=translate.google.com:443
2026-03-14T21:28:06 CONNECT_OK peer=('127.0.0.1', 60865) target=fonts.gstatic.com:443
2026-03-14T21:28:06 CONNECT_OK peer=('127.0.0.1', 60861) target=fonts.googleapis.com:443
2026-03-14T21:28:06 CONNECT_OK peer=('127.0.0.1', 60860) target=www.gstatic.com:443
2026-03-14T21:28:06 HANDLE_ERROR peer=('127.0.0.1', 60466) err=OSError:[WinError 121] Превышен таймаут семафора
2026-03-14T21:28:06 CONNECT_OK peer=('127.0.0.1', 60870) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:06 CONNECT_OK peer=('127.0.0.1', 60868) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60873) target=yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60885) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60875) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60879) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60886) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60878) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60891) target=fonts.gstatic.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60877) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60883) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60887) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60893) target=core-renderer-tiles.maps.yandex.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60897) target=mail.google.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60895) target=www.perplexity.ai:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 60899) target=addons-pa.clients6.google.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 61297) target=stats.avito.ru:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 61296) target=cs.avito.ru:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 61300) target=fonts.gstatic.com:443
2026-03-14T21:28:07 CONNECT_OK peer=('127.0.0.1', 61306) target=content-autofill.googleapis.com:443
