2026-03-09T18:17:48 CONNECT_OK peer=('127.0.0.1', 59480) target=mc.yandex.ru:443
2026-03-09T18:17:49 CONNECT_OK peer=('127.0.0.1', 59481) target=mc.yandex.ru:443
2026-03-09T18:17:50 UP_CONNECT_FAIL peer=('127.0.0.1', 58637) target=sntr.avito.ru:443 rep=4
2026-03-09T18:17:50 HANDLE_ERROR peer=('127.0.0.1', 59490) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-09T18:17:50 UP_CONNECT_FAIL peer=('127.0.0.1', 58647) target=www.avito.ru:443 rep=4
2026-03-09T18:17:51 HANDLE_ERROR peer=('127.0.0.1', 59495) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-09T18:17:51 UP_CONNECT_FAIL peer=('127.0.0.1', 58674) target=cs.avito.ru:443 rep=4
2026-03-09T18:17:51 HANDLE_ERROR peer=('127.0.0.1', 59497) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-09T18:18:11 UP_CONNECT_FAIL peer=('127.0.0.1', 58884) target=stats.avito.ru:443 rep=4
2026-03-09T18:18:11 UP_CONNECT_FAIL peer=('127.0.0.1', 58881) target=sntr.avito.ru:443 rep=4
2026-03-09T18:18:11 UP_CONNECT_FAIL peer=('127.0.0.1', 58876) target=www.avito.ru:443 rep=4
2026-03-09T18:18:12 UP_CONNECT_FAIL peer=('127.0.0.1', 58906) target=stats.avito.ru:443 rep=4
2026-03-09T18:18:13 UP_CONNECT_FAIL peer=('127.0.0.1', 58910) target=stats.avito.ru:443 rep=4
2026-03-09T18:18:13 UP_CONNECT_FAIL peer=('127.0.0.1', 58911) target=www.avito.ru:443 rep=4
2026-03-09T18:18:13 CONNECT_OK peer=('127.0.0.1', 59962) target=8.47.69.6:443
